time,open,high,low,close,PlotCandle (Цена откр.),PlotCandle (Макс.,PlotCandle (Мин.),PlotCandle (Закрыть),Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes
1763647200,91479.6,91488.8,90400,90666.6,91479.6,91488.8,90400,90666.6,,,,,,,,,,,,,,,,,,,,
1763648100,90666.6,91469.6,90606,91419.5,90666.6,91469.6,90606,91419.5,,,,,,,,,,,,,,,,,,,,
1763649000,91419.5,91651.5,90813.2,91000,91419.5,91651.5,90813.2,91000,,,,,,,,,,,,,,,,,,,,
1763649900,91000,91246,90618.5,91064.5,91000,91246,90618.5,91064.5,,,,,,,,,,,,,,,,,,,,
1763650800,91064.4,91145.1,90320,90379.9,91064.4,91145.1,90320,90379.9,,,,,,,,,,,,,,,,,,,,
1763651700,90380,90827.3,90222,90597.1,90380,90827.3,90222,90597.1,,,,,,,,,,,,,,,,,,,,
1763652600,90597.1,90666,90171.6,90566.3,90597.1,90666,90171.6,90566.3,,,,,,,,,,,,,,,,,,,,
1763653500,90566.4,90574,89804.1,89835.4,90566.4,90574,89804.1,89835.4,,,,,,,,,,,,,,,,,,,,
1763654400,89835.5,89885.7,88382.4,88681.2,89835.5,89885.7,88382.4,88681.2,,,,,,,,,,,,,,,,,,,,
1763655300,88681.2,89055,88200,88669.5,88681.2,89055,88200,88669.5,,,,,,,,,,,,,,,,,,,,
1763656200,88669.5,88879.2,88070.7,88199,88669.5,88879.2,88070.7,88199,,,,,,,,,,,,,,,,,,,,
1763657100,88199,88396.3,87450,87855.5,88199,88396.3,87450,87855.5,,,,,,,,,,,,,,,,,,,,
1763658000,87855.5,88153.9,86700,87023.6,87855.5,88153.9,86700,87023.6,,,,,,,,,,,,,,,,,,,,
1763658900,87023.6,87350,86775.6,87100,87023.6,87350,86775.6,87100,,,,,,,,,,,,,,,,,,,,
1763659800,87099.9,87328.1,86281.9,86721.8,87099.9,87328.1,86281.9,86721.8,,,,,,,,,,,,,,,,,,,,
1763660700,86721.7,87250,86594,87186.1,86721.7,87250,86594,87186.1,,,,,,,,,,,,,,,,,,,,
1763661600,87186.1,87666.7,86899.8,87654.9,87186.1,87666.7,86899.8,87654.9,,,,,,,,,,,,,,,,,,,,
1763662500,87654.9,87713,86829.1,86922.6,87654.9,87713,86829.1,86922.6,,,,,,,,,,,,,,,,,,,,
1763663400,86922.5,87000,86589.9,86728.9,86922.5,87000,86589.9,86728.9,,,,,,,,,,,,,,,,,,,,
1763664300,86728.9,86729,86260.9,86445.7,86728.9,86729,86260.9,86445.7,,,,,,,,,,,,,,,,,,,,
1763665200,86445.7,86567.5,86066.6,86380.5,86445.7,86567.5,86066.6,86380.5,,,,,,,,,,,,,,,,,,,,
1763666100,86380.5,87124.6,86234.3,86880.1,86380.5,87124.6,86234.3,86880.1,,,,,,,,,,,,,,,,,,,,
1763667000,86880,86880.1,86401.8,86649.4,86880,86880.1,86401.8,86649.4,,,,,,,,,,,,,,,,,,,,
1763667900,86649.4,87034.5,86418,86880.3,86649.4,87034.5,86418,86880.3,,,,,,,,,,,,,,,,,,,,
1763668800,86880.2,86880.2,86295.8,86300,86880.2,86880.2,86295.8,86300,,,,,,,,,,,,,,,,,,,,
1763669700,86299.9,87018.4,86291.7,87007.2,86299.9,87018.4,86291.7,87007.2,,,,,,,,,,,,,,,,,,,,
1763670600,87007.3,87088.1,86401,86557.6,87007.3,87088.1,86401,86557.6,,,,,,,,,,,,,,,,,,,,
1763671500,86557.5,86710.1,86329.8,86432.8,86557.5,86710.1,86329.8,86432.8,,,,,,,,,,,,,,,,,,,,
1763672400,86432.8,86905,86401.3,86872.5,86432.8,86905,86401.3,86872.5,,,,,,,,,,,,,,,,,,,,
1763673300,86872.5,87443.6,86837.7,87113.4,86872.5,87443.6,86837.7,87113.4,,,,,,,,,,,,,,,,,,,,
1763674200,87113.5,87554,87021.2,87552.8,87113.5,87554,87021.2,87552.8,,,,,,,,,,,,,,,,,,,,
1763675100,87552.8,87630.9,87224.4,87235,87552.8,87630.9,87224.4,87235,,,,,,,,,,,,,,,,,,,,
1763676000,87234.6,87866.7,87157.8,87861.3,87234.6,87866.7,87157.8,87861.3,,,,,,,,,,,,,,,,,,,,
1763676900,87861.2,88100,87736,88098.1,87861.2,88100,87736,88098.1,,,,,,,,,,,,,,,,,,,,
1763677800,88098.1,88214.1,87600,88089.9,88098.1,88214.1,87600,88089.9,,,,,,,,,,,,,,,,,,,,
1763678700,88089.9,88174.6,87890,88033.8,88089.9,88174.6,87890,88033.8,,,,,,,,,,,,,,,,,,,,
1763679600,88033.7,88136.4,87300,87536,88033.7,88136.4,87300,87536,,,,,,,,,,,,,,,,,,,,
1763680500,87536.1,87722.3,87161.9,87242.5,87536.1,87722.3,87161.9,87242.5,,,,,,,,,,,,,,,,,,,,
1763681400,87242.4,87270.4,86737,87010.9,87242.4,87270.4,86737,87010.9,,,,,,,,,,,,,,,,,,,,
